dsa24	1	h	1.0,0.49,0.37,0.23,0.49,0.28,0.07,0.23,0.3,0.0,0.19,0.12,0.21,0.0,0.28,0.21,0.26,0.12,0.02,0.02,0.07,0.21,0.05,0.05,0.12,0.05,0.14,0.07,0.05,0.02
saa128	0	l	0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.33,1.0,0.0,0.11,0.0,0.11,0.0,0.0,0.11,0.89,0.0,0.22,0.0,0.0,0.0,0.11,0.22,0.0,0.78,0.0,0.0,0.22,0.11
jhb32	1	l	1.0,0.48,0.57,0.46,0.41,0.17,0.2,0.24,0.63,0.22,0.09,0.54,0.17,0.11,0.24,0.2,0.28,0.2,0.11,0.17,0.22,0.22,0.02,0.5,0.09,0.07,0.04,0.24,0.26,0.11
snb39	1	m	1.0,0.39,0.18,0.21,0.55,0.25,0.03,0.04,0.04,0.11,0.05,0.16,0.03,0.18,0.15,0.07,0.03,0.08,0.01,0.1,0.08,0.28,0.01,0.04,0.04,0.01,0.13,0.05,0.03,0.01
nrg14	0	l	0.19,0.19,1.0,0.11,0.0,0.0,0.96,0.63,0.22,0.11,0.44,0.85,0.52,0.04,0.0,0.07,0.11,0.59,0.48,0.04,0.44,0.0,0.44,0.19,0.48,0.15,0.0,0.22,0.11,0.37
pmp27	1	l	1.0,0.37,0.21,0.16,0.56,0.27,0.03,0.09,0.08,0.08,0.07,0.17,0.07,0.14,0.15,0.07,0.05,0.07,0.0,0.07,0.07,0.25,0.01,0.07,0.05,0.01,0.09,0.05,0.05,0.0
rdp23	0	l	0.22,0.16,1.0,0.16,0.03,0.03,1.0,0.44,0.38,0.09,0.56,0.53,0.31,0.09,0.0,0.06,0.34,0.28,0.38,0.03,0.25,0.0,0.56,0.25,0.19,0.34,0.0,0.25,0.16,0.25
mjm248	0	l	0.27,0.18,0.84,0.04,0.04,0.04,0.45,0.16,0.2,0.02,0.29,1.0,0.11,0.02,0.18,0.0,0.07,0.22,0.13,0.02,0.38,0.0,0.16,0.18,0.18,0.09,0.0,0.31,0.11,0.07
ams396	0	l	0.67,0.58,1.0,0.0,0.08,0.08,0.67,0.75,0.5,0.0,0.5,0.67,0.5,0.0,0.25,0.0,0.42,0.5,0.42,0.0,0.25,0.0,0.42,0.58,0.25,0.42,0.0,0.33,0.5,0.17
jmk195	1	m	1.0,0.29,0.19,0.08,0.65,0.24,0.01,0.07,0.05,0.04,0.06,0.15,0.05,0.07,0.17,0.0,0.02,0.03,0.0,0.06,0.05,0.39,0.0,0.04,0.02,0.0,0.2,0.04,0.02,0.0
atg23	1	m	1.0,0.67,0.44,0.78,0.22,0.11,0.11,0.33,0.56,0.56,0.11,0.56,0.33,0.22,0.22,0.33,0.33,0.22,0.22,0.33,0.0,0.0,0.11,0.11,0.11,0.33,0.0,0.11,0.11,0.22
jaw154	0	l	1.0,0.5,0.75,0.0,0.5,0.25,0.5,0.75,0.5,0.0,0.5,0.75,0.75,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.5,0.25,0.5,0.25,0.5
tjg49	1	l	1.0,0.17,0.05,0.15,0.78,0.17,0.01,0.01,0.02,0.08,0.02,0.06,0.01,0.05,0.04,0.0,0.02,0.03,0.0,0.11,0.02,0.57,0.0,0.01,0.01,0.0,0.12,0.02,0.01,0.0
mac276	0	h	0.33,0.33,1.0,0.0,0.0,0.0,0.58,0.25,0.33,0.0,0.58,0.42,0.25,0.0,0.33,0.0,0.25,0.58,0.25,0.0,0.0,0.0,0.42,0.25,0.58,0.33,0.0,0.25,0.25,0.25
hwf2	0	l	0.21,0.21,1.0,0.0,0.0,0.0,1.0,0.07,0.21,0.0,0.43,0.86,0.07,0.21,0.0,0.0,0.21,0.21,0.07,0.0,0.57,0.0,0.43,0.07,0.14,0.21,0.0,0.43,0.07,0.07
mhr19	1	l	1.0,0.48,0.59,0.28,0.52,0.21,0.41,0.55,0.17,0.28,0.48,0.38,0.52,0.24,0.14,0.21,0.17,0.07,0.48,0.03,0.1,0.31,0.38,0.1,0.03,0.17,0.14,0.24,0.1,0.48
rwm27	0	l	0.09,0.09,1.0,0.09,0.0,0.0,1.0,0.27,0.64,0.09,0.55,0.45,0.18,0.09,0.0,0.09,0.55,0.18,0.27,0.0,0.27,0.0,0.55,0.18,0.18,0.64,0.0,0.36,0.18,0.18
mlk93	1	h	1.0,0.65,0.55,0.05,0.35,0.35,0.15,0.2,0.75,0.0,0.1,0.55,0.15,0.15,0.35,0.0,0.65,0.2,0.1,0.05,0.3,0.0,0.05,0.2,0.2,0.55,0.0,0.3,0.2,0.1
kko4	0	m	0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.67,1.0,0.0,0.27,0.67,0.47,0.0,0.0,0.0,0.6,0.2,0.6,0.0,0.4,0.0,0.27,0.87,0.2,1.0,0.0,0.4,0.6,0.47
mjd78	1	l	1.0,0.73,0.33,0.48,0.22,0.14,0.12,0.17,0.12,0.39,0.09,0.11,0.12,0.34,0.19,0.31,0.09,0.08,0.05,0.16,0.08,0.06,0.0,0.06,0.05,0.03,0.03,0.05,0.05,0.03
